Type,Time,Val_1,Val_2,Val_3,Val_4,Val_5,Val_6
TC,6.0,26.5,28.1,36,10.5,22.3,37.1
SPEC,6.027,0.408318,0.433221,NaN,NaN,NaN,NaN
ACC,7.7,0,-0.7,-1.5,NaN,NaN,NaN
IMU,7.7,0,0,0,0,1.3,0.1
TC,10.0,26.5,28.3,36,10.1,22,37.3
SPEC,10.035,0.433089,0.433167,NaN,NaN,NaN,NaN
IMU,11.7,0,0,0,-0.4,3.8,0.4
ACC,11.7,0,-0.7,-1.5,NaN,NaN,NaN
TC,12.0,26.3,28.1,36.1,9.9,22,37.5
SPEC,12.039,0.460162,0.433173,NaN,NaN,NaN,NaN
ACC,13.7,0,0,-1.5,NaN,NaN,NaN
IMU,13.7,0,0,0,-0.4,4.5,0.7
TC,18.0,26.3,28.1,36.3,9.5,21.6,37.7
SPEC,18.055,0.478741,0.433209,NaN,NaN,NaN,NaN
ACC,19.7,0,-0.7,-1.5,NaN,NaN,NaN
IMU,19.7,0,0,0.1,-2.1,7.8,1.5
TC,20.0,26.3,28.1,36.5,9.3,21.5,37.9
SPEC,20.059,0.360964,0.43317,NaN,NaN,NaN,NaN
ACC,21.7,0,-0.7,-1.5,NaN,NaN,NaN
IMU,21.7,0,0,0,-2.5,8.5,1.6
TC,24.0,26.3,28,36.6,8.8,21.1,37.8
SPEC,24.067,0.364809,0.433183,NaN,NaN,NaN,NaN
ACC,25.8,0,-0.7,-1.5,NaN,NaN,NaN
IMU,25.8,0,0,0,-4.4,9.8,2
TC,30.0,26.3,28,36.8,8.6,20.8,38.1
TC,30.0,26.3,28,36.8,8.6,20.8,38.1
SPEC,30.09,0.37289,0.433171,NaN,NaN,NaN,NaN
SPEC,30.09,0.37289,0.433171,NaN,NaN,NaN,NaN
IMU,31.8,0,0,0,-7.5,11.4,2.9
ACC,31.8,0,0,-0.7,NaN,NaN,NaN
IMU,31.8,0,0,0,-7.5,11.4,2.9
ACC,31.8,0,0,-0.7,NaN,NaN,NaN
TC,36.0,26.3,28,37,7.6,19.6,38.6
SPEC,36.113,0.432943,0.433141,NaN,NaN,NaN,NaN
RMC,37.357,22:10:42.0,nan,nan,nan,nan,NaN
GGA,37.417,22:10:42.0,nan,nan,99.99,nan,NaN
ACC,37.8,-0.7,-0.7,-1.5,NaN,NaN,NaN
IMU,37.8,0,0,0,-10.5,11.8,3.6
TC,40.0,26.3,27.8,36.9,8.2,19.8,38.6
SPEC,40.123,0.370788,0.433167,NaN,NaN,NaN,NaN
IMU,41.9,0,0,0,-13,11.6,3.8
ACC,41.9,0,0,-1.5,NaN,NaN,NaN
TC,50.0,26,27.5,37.2,7.6,19.3,39
SPEC,50.16,0.432978,0.433186,NaN,NaN,NaN,NaN
IMU,51.9,0,0,0,-18.6,8.1,4.3
ACC,51.9,0,-0.7,-1.5,NaN,NaN,NaN
TC,60.0,25.8,27.4,37.5,7.3,18.3,39.1
SPEC,60.182,0.368136,0.433173,NaN,NaN,NaN,NaN
IMU,62.0,0,0,0,-22.6,2,4.4
ACC,62.0,0,-0.7,-0.7,NaN,NaN,NaN
RMC,66.13,22:11:11.0,nan,nan,nan,nan,NaN
GGA,66.19,22:11:11.0,nan,nan,99.99,nan,NaN
